mail_id;bank;bank_key;empfaengergruppe;dateityp;dateimuster;pflicht;quelle;hinweis
APO_STANDARD;Österreichische Ärzte- und Apothekerbank AG;APO;Verteiler_APO;Gesamtbank;Gesamtbank__APO__{MM}-{JJJJ}.pdf;Ja;Marvin-Skript (Tableau-PDF);
APO_STANDARD;Österreichische Ärzte- und Apothekerbank AG;APO;Verteiler_APO;Kommerzkunden;Kommerzkunden__APO__{MM}-{JJJJ}.pdf;Ja;Marvin-Skript (Tableau-PDF);
APO_STANDARD;Österreichische Ärzte- und Apothekerbank AG;APO;Verteiler_APO;Management Summary;Management Summary {MONAT} {JJJJ}.xlsx;Ja;zentral, manuell erstellt;
APO_STANDARD;Österreichische Ärzte- und Apothekerbank AG;APO;Verteiler_APO;Sparplanreporting;Sparplanreporting {MONAT} {JJJJ}_Ärzte- und Apothekerbank.xlsx;Ja;Kollege, Ablage Ordner;
K_STANDARD;Volksbank Kärnten eG;K;Verteiler_K_Standard;Gesamtbank;Gesamtbank__K__{MM}-{JJJJ}.pdf;Ja;Marvin-Skript (Tableau-PDF);
K_STANDARD;Volksbank Kärnten eG;K;Verteiler_K_Standard;Bereich;Bereich_1__K__{MM}-{JJJJ}.pdf;Ja;Marvin-Skript (Tableau-PDF);
K_STANDARD;Volksbank Kärnten eG;K;Verteiler_K_Standard;Bereich;Bereich_2__K__{MM}-{JJJJ}.pdf;Ja;Marvin-Skript (Tableau-PDF);
K_STANDARD;Volksbank Kärnten eG;K;Verteiler_K_Standard;Management Summary;Management Summary {MONAT} {JJJJ}.xlsx;Ja;zentral, manuell erstellt;
K_STANDARD;Volksbank Kärnten eG;K;Verteiler_K_Standard;Sparplanreporting;Sparplanreporting {MONAT} {JJJJ}_VB Kärnten.xlsx;Ja;Kollege, Ablage Ordner;
K_BD1;Volksbank Kärnten eG;K;Verteiler_K_BD1;BD1 Details;BD1_Details__K__{MM}-{JJJJ}.pdf;Ja;Marvin-Skript (Tableau-PDF);Eigene Mail, anderer Empfängerkreis
